No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
9,Deni Avdija,SF,6-8,228,"January 3, 2001",il IL,R,,WAS,2021
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,8,Florida,WAS,2021
7,Jordan Bell,C,6-8,216,"January 7, 1995",us US,3,Oregon,WAS,2021
42,DÄvis BertÄns,PF,6-10,225,"November 12, 1992",lv LV,4,,WAS,2021
17,Isaac Bonga,SF,6-8,180,"November 8, 1999",de DE,2,,WAS,2021
6,Troy Brown Jr.,SF,6-7,215,"July 28, 1999",us US,2,Oregon,WAS,2021
13,Thomas Bryant,C,6-9,248,"July 31, 1997",us US,3,Indiana,WAS,2021
21,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,1,Arkansas,WAS,2021
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us US,R,"South Carolina, Virginia",WAS,2021
8,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,1,Gonzaga,WAS,2021
1,Chandler Hutchison,SF,6-6,210,"April 26, 1996",us US,2,Boise State,WAS,2021
27,Alex Len,C,7-0,250,"June 16, 1993",ua UA,7,Maryland,WAS,2021
15,Robin Lopez,C,7-1,281,"April 1, 1988",us US,12,Stanford,WAS,2021
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,1,Lipscomb,WAS,2021
19,Raul Neto,PG,6-2,180,"May 19, 1992",br BR,5,,WAS,2021
18,AnÅ¾ejs PaseÄÅiks,C,7-1,229,"December 20, 1995",lv LV,1,,WAS,2021
12,Jerome Robinson,SG,6-5,190,"February 22, 1997",us US,2,Boston College,WAS,2021
14,Ish Smith,PG,6-0,175,"July 5, 1988",us US,10,Wake Forest,WAS,2021
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,2,Michigan,WAS,2021
4,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,12,UCLA,WAS,2021
5,Cassius Winston,PG,6-1,185,"February 28, 1998",us US,R,Michigan State,WAS,2021
