No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,1,UNC,ORL,2022
5,Mo Bamba,C,7-0,231,"May 12, 1998",us US,3,Texas,ORL,2022
17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",lt LT,2,Michigan,ORL,2022
30,Devin Cannady,PG,6-2,183,"May 21, 1996",us US,1,Princeton,ORL,2022
34,Wendell Carter Jr.,PF,6-10,270,"April 16, 1999",us US,3,Duke,ORL,2022
11,Jeff Dowtin Jr.,PG,6-3,177,"May 10, 1997",us US,R,Rhode Island,ORL,2022
11,Aleem Ford,SF,6-8,220,"December 22, 1997",us US,R,Wisconsin,ORL,2022
8,Tim Frazier,PG,6-1,170,"November 1, 1990",us US,7,Penn State,ORL,2022
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,4,Washington,ORL,2022
44,Freddie Gillespie,PF,6-9,245,"June 14, 1997",us US,1,"Carleton College, Baylor",ORL,2022
12,Hassani Gravett,PG,6-2,188,"July 16, 1996",us US,R,"Pensacola State, South Carolina",ORL,2022
13,R.J. Hampton,SG,6-4,175,"February 7, 2001",us US,1,,ORL,2022
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,7,Michigan State,ORL,2022
24,B.J. Johnson,SF,6-7,200,"December 21, 1995",us US,2,"Syracuse, La Salle",ORL,2022
33,Robin Lopez,C,7-1,281,"April 1, 1988",us US,13,Stanford,ORL,2022
2,Mychal Mulder,PG,6-3,195,"June 12, 1994",ca CA,2,"Vincennes University, Kentucky",ORL,2022
3,Chuma Okeke,PF,6-7,229,"August 18, 1998",us US,1,Auburn,ORL,2022
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,9,Washington,ORL,2022
25,Admiral Schofield,SF,6-5,241,"March 30, 1997",gb GB,1,Tennessee,ORL,2022
4,Jalen Suggs,PG,6-5,205,"June 3, 2001",us US,R,Gonzaga,ORL,2022
22,Franz Wagner,SF,6-10,220,"August 27, 2001",de DE,R,Michigan,ORL,2022
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,3,Michigan,ORL,2022
