No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
11,Bruce Brown,SG,6-4,202,"August 15, 1996",us US,5,Miami (FL),IND,2024
10,Kendall Brown,SG,6-6,205,"May 11, 2003",us US,1,Baylor,IND,2024
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us US,3,Iowa State,IND,2024
7,Buddy Hield,SF,6-4,220,"December 17, 1992",bs BS,7,Oklahoma,IND,2024
22,Isaiah Jackson,C,6-8,205,"January 10, 2002",us US,2,Kentucky,IND,2024
29,Quenton Jackson,PG,6-4,173,"September 15, 1998",us US,1,Texas A&M,IND,2024
16,James Johnson,PF,6-7,240,"February 20, 1987",us US,14,Wake Forest,IND,2024
0,Bennedict Mathurin,SF,6-5,210,"June 19, 2002",ca CA,1,Arizona,IND,2024
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us US,8,"Duquesne, Arizona",IND,2024
20,Doug McDermott,SF,6-7,225,"January 3, 1992",us US,9,Creighton,IND,2024
2,Andrew Nembhard,PG,6-4,191,"January 16, 2000",ca CA,1,"Florida, Gonzaga",IND,2024
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,3,Vanderbilt,IND,2024
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,3,Louisville,IND,2024
26,Ben Sheppard,SG,6-6,190,"July 16, 2001",us US,R,Belmont,IND,2024
43,Pascal Siakam,PF,6-8,245,"April 2, 1994",cm CM,7,New Mexico State,IND,2024
25,Jalen Smith,C,6-8,215,"March 16, 2000",us US,3,Maryland,IND,2024
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,6,,IND,2024
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us US,3,Dayton,IND,2024
44,Oscar Tshiebwe,PF,6-8,255,"November 27, 1999",cd CD,R,"West Virginia, Kentucky",IND,2024
33,Myles Turner,C,6-11,250,"March 24, 1996",us US,8,Texas,IND,2024
5,Jarace Walker,PF,6-7,235,"September 4, 2003",us US,R,Houston,IND,2024
21,Isaiah Wong,SG,6-3,185,"January 28, 2001",us US,R,Miami (FL),IND,2024
