No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
3,Desmond Bane,SG,6-6,215,"June 25, 1998",us US,5,TCU,ORL,2026
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,7,Duke,ORL,2026
23,Tristan Da Silva,SF,6-8,217,"May 15, 2001",de DE,1,Colorado,ORL,2026
5,Paolo Banchero,PF,6-10,250,"November 12, 2002",us US,3,Duke,ORL,2026
0,Anthony Black,PG,6-7,200,"January 20, 2004",us US,2,Arkansas,ORL,2026
35,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,6,,ORL,2026
93,Noah Penda,SF,6-7,215,"January 7, 2005",fr FR,R,,ORL,2026
4,Jalen Suggs,PG,6-5,205,"June 3, 2001",us US,4,Gonzaga,ORL,2026
13,Jett Howard,SF,6-8,215,"September 14, 2003",us US,2,Michigan,ORL,2026
11,Jase Richardson,SG,6-1,180,"October 16, 2005",us US,R,Michigan State,ORL,2026
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,6,Florida State,ORL,2026
8,Jamal Cain,SF,6-7,191,"March 20, 1999",us US,3,"Marquette, Oakland",ORL,2026
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,7,Michigan,ORL,2026
22,Franz Wagner,SF,6-10,220,"August 27, 2001",de DE,4,Michigan,ORL,2026
2,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,7,West Virginia,ORL,2026
30,Alex Morales (TW),PG,6-6,180,"November 21, 1997",us US,R,"Prince George Community College, Wagner College",ORL,2026
14,Colin Castleton (TW),C,6-10,250,"May 25, 2000",us US,2,"Michigan, Florida",ORL,2026
