No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
5,Precious Achiuwa,C,6-8,243,"September 19, 1999",ng NG,3,Memphis,TOR,2024
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us US,1,Kansas,TOR,2024
3,OG Anunoby,SF,6-7,240,"July 17, 1997",gb GB,6,Indiana,TOR,2024
4,Scottie Barnes,SG,6-8,237,"August 1, 2001",us US,2,Florida State,TOR,2024
9,RJ Barrett,SG,6-6,214,"June 14, 2000",ca CA,4,Duke,TOR,2024
25,Chris Boucher,PF,6-8,200,"January 11, 1993",lc LC,6,"New Mexico Junior College, Northwest College, Oregon",TOR,2024
11,Bruce Brown,PG,6-4,202,"August 15, 1996",us US,5,Miami (FL),TOR,2024
3,D.J. Carton,SG,6-2,200,"August 5, 2000",us US,R,"Ohio State, Marquette",TOR,2024
1,Gradey Dick,SG,6-7,200,"November 20, 2003",us US,R,Kansas,TOR,2024
22,Malachi Flynn,PG,6-1,185,"May 10, 1998",us US,3,"Washington State, San Diego State",TOR,2024
0,Javon Freeman-Liberty,PG,6-3,190,"October 20, 1999",us US,R,"Valparaiso, DePaul",TOR,2024
16,Mouhamadou Gueye,PF,6-9,210,"July 6, 1998",us US,R,"Monroe Community College, Stony Brook University, Pitt",TOR,2024
8,Ron Harper Jr.,PF,6-5,233,"April 12, 2000",us US,1,Rutgers University,TOR,2024
3,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us US,3,Alabama,TOR,2024
2,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,4,San Diego State,TOR,2024
24,Markquis Nowell,SG,5-7,160,"December 25, 1999",us US,R,"Little Rock, Kansas State",TOR,2024
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us US,3,Louisville,TOR,2024
41,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,10,Gonzaga,TOR,2024
19,Jakob Poeltl,C,7-0,253,"October 15, 1995",at AT,7,Utah,TOR,2024
"11, 34",Jontay Porter,PF,6-11,240,"November 15, 1999",us US,1,Missouri,TOR,2024
32,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us US,10,Georgetown,TOR,2024
5,Immanuel Quickley,PG,6-2,190,"June 17, 1999",us US,3,Kentucky,TOR,2024
37,Jahmi'us Ramsey,SG,6-3,190,"June 9, 2001",us US,2,Texas Tech,TOR,2024
17,Dennis Schr̦der,PG,6-1,175,"September 15, 1993",de DE,10,,TOR,2024
43,Pascal Siakam,PF,6-8,245,"April 2, 1994",cm CM,7,New Mexico State,TOR,2024
8,Kobi Simmons,PG,6-5,180,"July 4, 1997",us US,3,Arizona,TOR,2024
"14, 17",Garrett Temple,SG,6-5,195,"May 8, 1986",us US,13,LSU,TOR,2024
33,Gary Trent Jr.,SG,6-5,204,"January 18, 1999",us US,5,Duke,TOR,2024
35,Malik Williams,C,6-11,250,"August 26, 1998",us US,R,Louisville,TOR,2024
21,Thaddeus Young,PF,6-8,225,"June 21, 1988",us US,16,Georgia Tech,TOR,2024
