No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
14,D.J. Augustin,PG,5-11,183,"November 10, 1987",us US,13,Texas,HOU,2022
7,Armoni Brooks,SG,6-3,195,"June 5, 1998",us US,1,Houston,HOU,2022
9,Josh Christopher,SG,6-4,215,"December 8, 2001",us US,R,Arizona State,HOU,2022
20,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,2,Maryland,HOU,2022
16,Usman Garuba,PF,6-8,229,"March 9, 2002",es ES,R,,HOU,2022
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us US,13,Indiana,HOU,2022
0,Jalen Green,SG,6-4,186,"February 9, 2002",us US,R,,HOU,2022
4,Danuel House Jr.,SF,6-6,220,"June 7, 1993",us US,5,Texas A&M,HOU,2022
6,KJ Martin,SF,6-6,215,"January 6, 2001",us US,1,,HOU,2022
25,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,2,Lipscomb,HOU,2022
15,Daishen Nix,SG,6-3,226,"February 13, 2002",us US,R,,HOU,2022
2,David Nwaba,SF,6-5,219,"January 14, 1993",us US,5,Cal Poly,HOU,2022
3,Kevin Porter Jr.,PG,6-5,203,"May 4, 2000",us US,2,USC,HOU,2022
21,Trevelin Queen,SG,6-5,190,"February 25, 1997",us US,R,"College of Marin, New Mexico Military Institute, New Mexico State",HOU,2022
17,Dennis SchrÃ¶der,PG,6-1,175,"September 15, 1993",de DE,8,,HOU,2022
28,Alperen ÅengÃ¼n,C,6-11,243,"July 25, 2002",tr TR,R,,HOU,2022
8,Jae'Sean Tate,PF,6-4,230,"October 28, 1995",us US,1,Ohio State,HOU,2022
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,4,,HOU,2022
35,Christian Wood,C,6-8,214,"September 27, 1995",us US,5,UNLV,HOU,2022
