No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
5,Precious Achiuwa,PF,6-8,243,"September 19, 1999",ng NG,R,Memphis,MIA,2021
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,3,Kentucky,MIA,2021
"0, 8",Trevor Ariza,SF,6-8,215,"June 30, 1985",us US,16,UCLA,MIA,2021
70,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",rs RS,5,,MIA,2021
11,Avery Bradley,SG,6-3,180,"November 26, 1990",us US,10,Texas,MIA,2021
22,Jimmy Butler,SF,6-6,230,"September 14, 1989",us US,9,"Tyler Junior College, Marquette",MIA,2021
21,Dewayne Dedmon,C,6-10,245,"August 12, 1989",us US,7,USC,MIA,2021
7,Goran DragiÄ,PG,6-4,190,"May 6, 1986",si SI,12,,MIA,2021
8,Maurice Harkless,SF,6-7,220,"May 11, 1993",us US,8,St. John's,MIA,2021
40,Udonis Haslem,C,6-8,235,"June 9, 1980",us US,17,Florida,MIA,2021
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,1,Kentucky,MIA,2021
28,Andre Iguodala,SF,6-6,215,"January 28, 1984",us US,16,Arizona,MIA,2021
0,Meyers Leonard,C,7-0,260,"February 27, 1992",us US,8,Illinois,MIA,2021
25,Kendrick Nunn,PG,6-3,190,"August 3, 1995",us US,1,"Illinois, Oakland",MIA,2021
"4, 11",KZ Okpala,PF,6-8,215,"April 28, 1999",us US,1,Stanford,MIA,2021
4,Victor Oladipo,SG,6-3,213,"May 4, 1992",us US,7,Indiana,MIA,2021
9,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,7,Gonzaga,MIA,2021
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,2,"Williams, Michigan",MIA,2021
30,Chris Silva,PF,6-8,234,"September 19, 1996",ga GA,1,South Carolina,MIA,2021
31,Max Strus,SF,6-5,215,"March 28, 1996",us US,1,"Lewis (IL), DePaul",MIA,2021
2,Gabe Vincent,PG,6-2,200,"June 14, 1996",us US,1,UC Santa Barbara,MIA,2021
