G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Thu, Oct 26, 2023",7:30p,,Box Score,@,Milwaukee Bucks,L,,117,118,0,1,L 1,17783,2:40,,PHI,2024
2,"Sat, Oct 28, 2023",7:30p,,Box Score,@,Toronto Raptors,W,,114,107,1,1,W 1,19800,2:10,,PHI,2024
3,"Sun, Oct 29, 2023",7:30p,,Box Score,,Portland Trail Blazers,W,,126,98,2,1,W 2,19768,2:13,,PHI,2024
4,"Thu, Nov 2, 2023",7:00p,,Box Score,,Toronto Raptors,W,,114,99,3,1,W 3,19773,2:16,,PHI,2024
5,"Sat, Nov 4, 2023",1:00p,,Box Score,,Phoenix Suns,W,,112,100,4,1,W 4,19796,2:18,,PHI,2024
6,"Mon, Nov 6, 2023",7:00p,,Box Score,,Washington Wizards,W,,146,128,5,1,W 5,19765,2:14,,PHI,2024
7,"Wed, Nov 8, 2023",7:00p,,Box Score,,Boston Celtics,W,,106,103,6,1,W 6,19953,2:11,,PHI,2024
8,"Fri, Nov 10, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,114,106,7,1,W 7,18902,2:18,In-Season Tournament,PHI,2024
9,"Sun, Nov 12, 2023",6:00p,,Box Score,,Indiana Pacers,W,,137,126,8,1,W 8,19758,2:06,,PHI,2024
10,"Tue, Nov 14, 2023",7:00p,,Box Score,,Indiana Pacers,L,,126,132,8,2,L 1,19774,2:37,In-Season Tournament,PHI,2024
11,"Wed, Nov 15, 2023",7:30p,,Box Score,,Boston Celtics,L,,107,117,8,3,L 2,19773,2:10,,PHI,2024
12,"Fri, Nov 17, 2023",7:30p,,Box Score,@,Atlanta Hawks,W,,126,116,9,3,W 1,17067,2:19,In-Season Tournament,PHI,2024
13,"Sun, Nov 19, 2023",3:00p,,Box Score,@,Brooklyn Nets,W,,121,99,10,3,W 2,17934,2:08,,PHI,2024
14,"Tue, Nov 21, 2023",7:30p,,Box Score,,Cleveland Cavaliers,L,OT,119,122,10,4,L 1,20565,2:51,In-Season Tournament,PHI,2024
15,"Wed, Nov 22, 2023",8:00p,,Box Score,@,Minnesota Timberwolves,L,,99,112,10,5,L 2,18024,2:09,,PHI,2024
16,"Sat, Nov 25, 2023",5:00p,,Box Score,@,Oklahoma City Thunder,W,,127,123,11,5,W 1,17125,2:33,,PHI,2024
17,"Mon, Nov 27, 2023",7:00p,,Box Score,,Los Angeles Lakers,W,,138,94,12,5,W 2,19907,2:11,,PHI,2024
18,"Wed, Nov 29, 2023",8:00p,,Box Score,@,New Orleans Pelicans,L,,114,124,12,6,L 1,16009,2:23,,PHI,2024
19,"Fri, Dec 1, 2023",7:30p,,Box Score,@,Boston Celtics,L,,119,125,12,7,L 2,19156,2:25,,PHI,2024
