No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
9,Moses Brown,C,7-2,258,"October 13, 1999",us US,5,UCLA,DAL,2025
0,Max Christie,SG,6-5,190,"February 10, 2003",us US,2,Michigan State,DAL,2025
3,Anthony Davis,PF,6-10,253,"March 11, 1993",us US,12,Kentucky,DAL,2025
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,10,Colorado,DAL,2025
77,Luka DonÄiÄ,PG,6-8,230,"February 28, 1999",si SI,6,,DAL,2025
20,Kessler Edwards,SF,6-8,203,"August 9, 2000",us US,3,Pepperdine,DAL,2025
0,DantÃ© Exum,PG,6-5,214,"July 13, 1995",au AU,7,,DAL,2025
21,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,5,Arkansas,DAL,2025
0,Jazian Gortman,PG,6-2,184,"April 14, 2003",us US,R,,DAL,2025
5,Quentin Grimes,SG,6-4,210,"May 8, 2000",us US,3,"Kansas, Houston",DAL,2025
1,Jaden Hardy,SG,6-3,198,"July 5, 2002",us US,2,,DAL,2025
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,13,Duke,DAL,2025
23,Kai Jones,C,6-11,221,"January 19, 2001",bs BS,2,Texas,DAL,2025
50,Kylor Kelley,C,7-0,215,"August 26, 1997",us US,R,Oregon State,DAL,2025
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de DE,7,,DAL,2025
2,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,1,Duke,DAL,2025
13,Naji Marshall,SF,6-6,220,"January 24, 1998",us US,4,Xavier,DAL,2025
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,5,"NC State, Nevada",DAL,2025
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,13,Kansas,DAL,2025
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,10,Stanford,DAL,2025
8,Olivier-Maxence Prosper,PF,6-7,230,"July 3, 2002",ca CA,1,"Clemson, Marquette",DAL,2025
31,Klay Thompson,SF,6-5,220,"February 8, 1990",us US,11,Washington State,DAL,2025
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,5,Kentucky,DAL,2025
10,Brandon Williams,PG,6-1,190,"November 22, 1999",us US,2,Arizona,DAL,2025
