No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
22,Kyle Filipowski,C,6-11,250,"November 7, 2003",us US,1,Duke,UTA,2026
28,Brice Sensabaugh,SF,6-6,235,"October 30, 2003",us US,2,Ohio State,UTA,2026
19,Ace Bailey,SF,6-9,200,"August 13, 2006",us US,R,Rutgers University,UTA,2026
5,Cody Williams,SG,6-8,190,"November 20, 2004",us US,1,Colorado,UTA,2026
8,Isaiah Collier,PG,6-4,210,"October 8, 2004",us US,1,USC,UTA,2026
3,Keyonte George,PG,6-4,185,"November 8, 2003",us US,2,Baylor,UTA,2026
10,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,7,Kansas,UTA,2026
23,Lauri Markkanen,PF,7-1,240,"May 22, 1997",fi FI,8,Arizona,UTA,2026
30,Jusuf NurkiÄ,C,6-11,290,"August 23, 1994",ba BA,11,,UTA,2026
42,Kevin Love,PF,6-10,251,"September 7, 1988",us US,17,UCLA,UTA,2026
34,Oscar Tshiebwe (TW),C,6-8,255,"November 27, 1999",cd CD,2,"West Virginia, Kentucky",UTA,2026
16,Elijah Harkless (TW),SG,6-3,195,"February 3, 2000",us US,1,"Cal State Northridge, Oklahoma, UNLV",UTA,2026
55,John Konchar,SG,6-5,210,"March 22, 1996",us US,6,Purdue-Fort Wayne,UTA,2026
21,Bez Mbeng,SG,6-4,185,"May 2, 2003",us US,R,Yale,UTA,2026
2,Blake Hinson (TW),SF,6-8,240,"December 26, 1999",us US,R,"Ole Miss, Iowa State, Pitt",UTA,2026
24,Walker Kessler,C,7-2,245,"July 26, 2001",us US,3,"UNC, Auburn",UTA,2026
20,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,7,Michigan State,UTA,2026
33,Hayden Gray,SG,6-4,190,"May 11, 2003",us US,R,UC San Diego,UTA,2026
