No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
2,Lonzo Ball,PG,6-5,190,"October 27, 1997",us US,5,UCLA,CHI,2025
14,Matas Buzelis,SF,6-8,209,"October 13, 2004",us US,R,,CHI,2025
5,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,6,West Virginia,CHI,2025
12,Zach Collins,PF,6-9,250,"November 19, 1997",us US,6,Gonzaga,CHI,2025
13,Torrey Craig,SF,6-5,221,"December 19, 1990",us US,7,USC Upstate,CHI,2025
11,Ayo Dosunmu,SG,6-4,200,"January 17, 2000",us US,3,Illinois,CHI,2025
27,Chris Duarte,SG,6-5,190,"June 13, 1997",do DO,3,Oregon,CHI,2025
3,Josh Giddey,PG,6-7,216,"October 10, 2002",au AU,3,,CHI,2025
22,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us US,5,Iowa State,CHI,2025
13,Kevin Huerter,SG,6-6,198,"August 27, 1998",us US,6,Maryland,CHI,2025
30,Tre Jones,PG,6-1,185,"January 8, 2000",us US,4,Duke,CHI,2025
8,Zach LaVine,SF,6-5,200,"March 10, 1995",us US,10,UCLA,CHI,2025
32,E.J. Liddell,PF,6-6,240,"December 18, 2000",us US,1,Ohio State,CHI,2025
20,Emanuel Miller,PF,6-5,215,"June 19, 2000",ca CA,R,"Texas A&M, TCU",CHI,2025
15,Julian Phillips,SF,6-6,198,"November 5, 2003",us US,1,Tennessee,CHI,2025
21,Adama Sanogo,C,6-9,245,"February 12, 2002",ml ML,1,UConn,CHI,2025
7,Jalen Smith,C,6-8,215,"March 16, 2000",us US,4,Maryland,CHI,2025
25,Dalen Terry,SG,6-6,195,"July 12, 2002",us US,2,Arizona,CHI,2025
9,Nikola VuÄeviÄ,C,6-9,260,"October 24, 1990",ch CH,13,USC,CHI,2025
0,Coby White,SG,6-4,195,"February 16, 2000",us US,5,UNC,CHI,2025
44,Patrick Williams,PF,6-6,215,"August 26, 2001",us US,4,Florida State,CHI,2025
17,Jahmir Young,PG,6-0,185,"October 7, 2000",us US,R,"UNC Charlotte, Maryland",CHI,2025
