No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
00,Carmelo Anthony,PF,6-7,238,"May 29, 1984",us US,17,Syracuse,POR,2021
21,Keljin Blevins,SF,6-4,200,"November 24, 1995",us US,R,"Southern Miss, Montana State",POR,2021
23,Robert Covington,PF,6-7,209,"December 14, 1990",us US,7,Tennessee State,POR,2021
16,CJ Elleby,SF,6-6,200,"June 16, 2000",us US,R,Washington State,POR,2021
11,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,9,Kentucky,POR,2021
4,Harry Giles,C,6-10,240,"April 22, 1998",us US,2,Duke,POR,2021
2,Rondae Hollis-Jefferson,PF,6-6,217,"January 3, 1995",us US,5,Arizona,POR,2021
5,Rodney Hood,SF,6-8,208,"October 20, 1992",us US,6,"Mississippi State, Duke",POR,2021
"5, 55",Derrick Jones Jr.,SF,6-6,210,"February 15, 1997",us US,4,UNLV,POR,2021
18,T.J. Leaf,PF,6-10,222,"April 30, 1997",il IL,3,UCLA,POR,2021
0,Damian Lillard,PG,6-2,200,"July 15, 1990",us US,8,Weber State,POR,2021
9,Nassir Little,PF,6-6,220,"February 11, 2000",us US,1,UNC,POR,2021
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us US,7,Lehigh,POR,2021
27,Jusuf NurkiÄ,C,6-11,290,"August 23, 1994",ba BA,6,,POR,2021
24,Norman Powell,SF,6-3,215,"May 25, 1993",us US,5,UCLA,POR,2021
1,Anfernee Simons,SG,6-3,200,"June 8, 1999",us US,2,,POR,2021
2,Gary Trent Jr.,SG,6-5,204,"January 18, 1999",us US,2,Duke,POR,2021
