Rk,Unnamed: 1,Salary,Team,Season
1,Al Horford,"$27,500,000",OKC,2021
2,Meyers Leonard,"$9,400,000",OKC,2021
3,Darius Miller,"$7,000,000",OKC,2021
4,Justin Jackson,"$5,029,650",OKC,2021
5,T.J. Leaf,"$4,326,825",OKC,2021
6,Shai Gilgeous-Alexander,"$4,141,320",OKC,2021
7,Gabriel Deck,"$3,870,370",OKC,2021
8,Tony Bradley,"$3,542,060",OKC,2021
9,Austin Rivers,"$3,500,000",OKC,2021
10,Aleksej Pokusevski,"$2,964,840",OKC,2021
11,Darius Bazley,"$2,399,160",OKC,2021
12,Ty Jerome,"$2,303,040",OKC,2021
13,Mike Muscala,"$2,283,034",OKC,2021
14,Kenrich Williams,"$2,000,000",OKC,2021
15,Th̩o Maledon,"$2,000,000",OKC,2021
16,Svi Mykhailiuk,"$1,663,861",OKC,2021
17,Josh Gray,"$1,620,564",OKC,2021
18,Luguentz Dort,"$1,517,981",OKC,2021
19,Isaiah Roby,"$1,517,981",OKC,2021
20,Admiral Schofield,"$1,517,981",OKC,2021
21,Zylan Cheatham,"$1,445,697",OKC,2021
22,Moses Brown,"$1,250,000",OKC,2021
23,Kyle Singler,"$999,200",OKC,2021
24,Patrick Patterson,"$737,067",OKC,2021
25,Frank Jackson,"$250,000",OKC,2021
26,Charlie Brown,"$217,844",OKC,2021
27,Justin Robinson,"$198,040",OKC,2021
28,Josh Hall,$0,OKC,2021
29,Jaylen Hoard,$0,OKC,2021
