Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,49,33,49,33,3.35,-0.28,3.07,116.8,113.5,100.5,0.285,0.42,0.559,12.9,25.7,0.215,0.529,13.0,73.7,0.22,Target Center,732465,MIN,2026
Lg Rank,10,21,10,10,10.0,24.0,10.0,12.0,8.0,9.0,7.0,16.0,6.0,17.0,15.0,11.0,5.0,15.0,20.0,24.0,,19,MIN,2026
