Rk,Unnamed: 1,Salary,Team,Season
1,Gordon Hayward,"$29,925,000",CHO,2022
2,Terry Rozier,"$17,905,263",CHO,2022
3,Kelly Oubre,"$12,000,000",CHO,2022
4,Montrezl Harrell,"$9,720,900",CHO,2022
5,Nicolas Batum,"$8,856,969",CHO,2022
6,LaMelo Ball,"$8,231,760",CHO,2022
7,Mason Plumlee,"$8,137,500",CHO,2022
8,Miles Bridges,"$5,421,493",CHO,2022
9,P.J. Washington,"$4,215,120",CHO,2022
10,James Bouknight,"$4,154,400",CHO,2022
11,Kai Jones,"$2,770,560",CHO,2022
12,Wes Iwundu,"$1,824,003",CHO,2022
13,Cody Martin,"$1,782,621",CHO,2022
14,Jalen McDaniels,"$1,782,621",CHO,2022
15,Nick Richards,"$1,517,981",CHO,2022
16,JT Thor,"$1,250,000",CHO,2022
17,Isaiah Thomas,"$552,077",CHO,2022
18,Scottie Lewis,$0,CHO,2022
19,Arnoldas Kulboka,$0,CHO,2022
