Rk,Unnamed: 1,Salary,Team,Season
1,Joel Embiid,"$51,415,938",PHI,2025
2,Paul George,"$49,205,800",PHI,2025
3,Tyrese Maxey,"$35,147,000",PHI,2025
4,Kelly Oubre,"$7,983,000",PHI,2025
5,Andre Drummond,"$5,000,000",PHI,2025
6,Quentin Grimes,"$4,296,682",PHI,2025
7,Jared McCain,"$4,020,360",PHI,2025
8,Eric Gordon,"$3,303,771",PHI,2025
9,Kyle Lowry,"$2,087,519",PHI,2025
10,Guerschon Yabusele,"$2,087,519",PHI,2025
11,Ricky Council,"$1,891,857",PHI,2025
12,Adem Bona,"$1,157,153",PHI,2025
13,Lonnie Walker,"$780,932",PHI,2025
14,Jared Butler,"$745,726",PHI,2025
15,Justin Edwards,"$425,619",PHI,2025
16,Oshae Brissett,"$119,972",PHI,2025
17,Chuma Okeke,"$119,972",PHI,2025
18,Chuma Okeke,"$119,972",PHI,2025
19,David Roddy,"$119,972",PHI,2025
20,Colin Castleton,"$107,027",PHI,2025
21,Phillip Wheeler,"$66,503",PHI,2025
22,Marcus Bagley,"$66,503",PHI,2025
23,Marcus Bagley,"$59,853",PHI,2025
24,Isaiah Mobley,"$11,997",PHI,2025
25,David Roddy,,PHI,2025
26,Alex Reese,,PHI,2025
27,Jalen Hood-Schifino,,PHI,2025
28,Pete Nance,,PHI,2025
29,Pete Nance,,PHI,2025
30,Jared Butler,,PHI,2025
31,Lester Qui̱ones,,PHI,2025
32,David Jones,,PHI,2025
33,Jeff Dowtin,,PHI,2025
34,Justin Edwards,,PHI,2025
