Rk,Unnamed: 1,Salary,Team,Season
1,Gordon Hayward,"$30,075,000",CHO,2023
2,Terry Rozier,"$21,486,316",CHO,2023
3,Kelly Oubre,"$12,600,000",CHO,2023
4,Reggie Jackson,"$10,876,844",CHO,2023
5,Nicolas Batum,"$8,856,969",CHO,2023
6,LaMelo Ball,"$8,623,920",CHO,2023
7,Cody Martin,"$7,000,000",CHO,2023
8,P.J. Washington,"$5,808,435",CHO,2023
9,James Bouknight,"$4,362,240",CHO,2023
10,Mark Williams,"$3,722,040",CHO,2023
11,Kai Jones,"$2,909,040",CHO,2023
12,Svi Mykhailiuk,"$1,836,090",CHO,2023
13,Dennis Smith,"$1,836,090",CHO,2023
14,Nick Richards,"$1,782,621",CHO,2023
15,JT Thor,"$1,563,518",CHO,2023
16,Bryce McGowens,"$1,075,000",CHO,2023
17,Xavier Sneed,"$94,136",CHO,2023
18,Kobi Simmons,"$32,795",CHO,2023
19,Bryce McGowens,,CHO,2023
20,Th̩o Maledon,,CHO,2023
21,Kobi Simmons,,CHO,2023
22,Xavier Sneed,,CHO,2023
