G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 25, 2023",7:00p,,Box Score,@,Charlotte Hornets,L,,110,116,0,1,L 1,16129,2:22,,ATL,2024
2,"Fri, Oct 27, 2023",7:30p,,Box Score,,New York Knicks,L,,120,126,0,2,L 2,17692,2:11,,ATL,2024
3,"Sun, Oct 29, 2023",7:00p,,Box Score,@,Milwaukee Bucks,W,,127,110,1,2,W 1,17341,2:15,,ATL,2024
4,"Mon, Oct 30, 2023",7:30p,,Box Score,,Minnesota Timberwolves,W,,127,113,2,2,W 2,15504,2:05,,ATL,2024
5,"Wed, Nov 1, 2023",7:30p,,Box Score,,Washington Wizards,W,,130,121,3,2,W 3,15925,2:11,,ATL,2024
6,"Sat, Nov 4, 2023",7:00p,,Box Score,@,New Orleans Pelicans,W,,123,105,4,2,W 4,17237,2:06,,ATL,2024
7,"Mon, Nov 6, 2023",8:00p,,Box Score,@,Oklahoma City Thunder,L,,117,126,4,3,L 1,16486,2:17,,ATL,2024
8,"Thu, Nov 9, 2023",9:30p,,Box Score,@,Orlando Magic,W,,120,119,5,3,W 1,19986,2:31,"at Mexico City, Mexico",ATL,2024
9,"Sat, Nov 11, 2023",7:30p,,Box Score,,Miami Heat,L,,109,117,5,4,L 1,17722,2:13,,ATL,2024
10,"Tue, Nov 14, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,126,120,6,4,W 1,16963,2:13,In-Season Tournament,ATL,2024
11,"Wed, Nov 15, 2023",7:30p,,Box Score,,New York Knicks,L,,114,116,6,5,L 1,17060,2:17,,ATL,2024
12,"Fri, Nov 17, 2023",7:30p,,Box Score,,Philadelphia 76ers,L,,116,126,6,6,L 2,17067,2:19,In-Season Tournament,ATL,2024
13,"Tue, Nov 21, 2023",7:30p,,Box Score,,Indiana Pacers,L,,152,157,6,7,L 3,17162,2:18,In-Season Tournament,ATL,2024
14,"Wed, Nov 22, 2023",7:30p,,Box Score,,Brooklyn Nets,W,OT,147,145,7,7,W 1,17340,2:37,,ATL,2024
15,"Sat, Nov 25, 2023",7:00p,,Box Score,@,Washington Wizards,W,,136,108,8,7,W 2,16276,2:02,,ATL,2024
16,"Sun, Nov 26, 2023",6:00p,,Box Score,@,Boston Celtics,L,,103,113,8,8,L 1,19156,2:08,,ATL,2024
17,"Tue, Nov 28, 2023",7:30p,,Box Score,@,Cleveland Cavaliers,L,,105,128,8,9,L 2,19432,2:10,In-Season Tournament,ATL,2024
18,"Thu, Nov 30, 2023",8:00p,,Box Score,@,San Antonio Spurs,W,,137,135,9,9,W 1,17646,2:17,,ATL,2024
19,"Sat, Dec 2, 2023",8:00p,,Box Score,@,Milwaukee Bucks,L,,121,132,9,10,L 1,17866,2:04,,ATL,2024
20,"Wed, Dec 6, 2023",7:30p,,Box Score,,Brooklyn Nets,L,,113,114,9,11,L 2,15906,2:21,,ATL,2024
21,"Fri, Dec 8, 2023",7:00p,,Box Score,@,Philadelphia 76ers,L,,114,125,9,12,L 3,19746,2:13,,ATL,2024
22,"Mon, Dec 11, 2023",7:30p,,Box Score,,Denver Nuggets,L,,122,129,9,13,L 4,17531,2:26,,ATL,2024
23,"Wed, Dec 13, 2023",7:30p,,Box Score,@,Toronto Raptors,L,,128,135,9,14,L 5,19423,2:18,,ATL,2024
