Rk,Unnamed: 1,Salary,Team,Season
1,Kemba Walker,"$26,238,422",OKC,2022
2,Derrick Favors,"$9,720,900",OKC,2022
3,Josh Giddey,"$5,988,000",OKC,2022
4,Shai Gilgeous-Alexander,"$5,495,532",OKC,2022
5,Mike Muscala,"$3,500,000",OKC,2022
6,Aleksej Pokusevski,"$3,113,160",OKC,2022
7,Tre Mann,"$2,901,240",OKC,2022
8,Darius Bazley,"$2,513,040",OKC,2022
9,Ty Jerome,"$2,412,840",OKC,2022
10,Kenrich Williams,"$2,000,000",OKC,2022
11,Jeremiah Robinson-Earl,"$2,000,000",OKC,2022
12,Th̩o Maledon,"$2,000,000",OKC,2022
13,Isaiah Roby,"$1,782,621",OKC,2022
14,Luguentz Dort,"$1,782,621",OKC,2022
15,KZ Okpala,"$1,782,621",OKC,2022
16,Gabriel Deck,"$1,690,507",OKC,2022
17,Mamadi Diakite,"$1,040,234",OKC,2022
18,Aaron Wiggins,"$1,000,000",OKC,2022
19,Kyle Singler,"$999,200",OKC,2022
20,Vit Krejci,"$925,258",OKC,2022
21,Patrick Patterson,"$737,066",OKC,2022
22,Admiral Schofield,"$300,000",OKC,2022
23,Jaylen Hoard,"$191,860",OKC,2022
24,Olivier Sarr,"$106,352",OKC,2022
25,Scotty Hopson,"$99,380",OKC,2022
26,Georgios Kalaitzakis,"$53,176",OKC,2022
27,Zavier Simpson,"$53,176",OKC,2022
28,Rob Edwards,"$53,176",OKC,2022
29,Miye Oni,"$51,225",OKC,2022
30,Lindy Waters,$0,OKC,2022
31,Paul Watson,$0,OKC,2022
32,Melvin Frazier,$0,OKC,2022
33,Josh Hall,$0,OKC,2022
