Rk,Unnamed: 1,Salary,Team,Season
1,Ja Morant,"$36,725,670",MEM,2025
2,Desmond Bane,"$34,005,250",MEM,2025
3,Jaren Jackson,"$25,257,798",MEM,2025
4,Marvin Bagley,"$12,500,000",MEM,2025
5,Brandon Clarke,"$12,500,000",MEM,2025
6,Luke Kennard,"$9,250,000",MEM,2025
7,John Konchar,"$6,165,000",MEM,2025
8,Zach Edey,"$5,756,880",MEM,2025
9,Johnny Davis,"$5,291,160",MEM,2025
10,Santi Aldama,"$3,960,531",MEM,2025
11,Vince Williams,"$2,120,693",MEM,2025
12,Jay Huff,"$2,088,033",MEM,2025
13,Scotty Pippen,"$2,087,519",MEM,2025
14,Kennedy Chandler,"$2,019,699",MEM,2025
15,Gregory Jackson,"$1,891,857",MEM,2025
16,Jaylen Wells,"$1,157,153",MEM,2025
17,Mamadi Diakite,"$464,050",MEM,2025
18,Lamar Stevens,"$383,912",MEM,2025
19,Lamar Stevens,"$119,972",MEM,2025
20,Lamar Stevens,"$119,972",MEM,2025
21,Yuki Kawamura,,MEM,2025
22,Jay Huff,,MEM,2025
23,Cam Spencer,,MEM,2025
24,Colin Castleton,,MEM,2025
25,Zyon Pullin,,MEM,2025
