Rk,Unnamed: 1,Salary,Team,Season
1,Jaren Jackson,"$28,946,605",MEM,2023
2,Steven Adams,"$17,926,829",MEM,2023
3,Tyus Jones,"$15,000,000",MEM,2023
4,Luke Kennard,"$14,415,545",MEM,2023
5,Ja Morant,"$12,119,440",MEM,2023
6,Dillon Brooks,"$11,400,000",MEM,2023
7,Ziaire Williams,"$4,591,680",MEM,2023
8,Brandon Clarke,"$4,343,920",MEM,2023
9,Jake LaRavia,"$3,047,640",MEM,2023
10,David Roddy,"$2,588,640",MEM,2023
11,John Konchar,"$2,300,000",MEM,2023
12,Desmond Bane,"$2,130,240",MEM,2023
13,Santi Aldama,"$2,094,120",MEM,2023
14,Killian Tillie,"$1,901,625",MEM,2023
15,Xavier Tillman,"$1,782,621",MEM,2023
16,Kennedy Chandler,"$1,200,000",MEM,2023
17,Kenneth Lofton,"$1,000,000",MEM,2023
18,Kenneth Lofton,,MEM,2023
19,Vince Williams,,MEM,2023
20,Jacob Gilyard,,MEM,2023
