No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,2,,CHO,2023
2,James Bouknight,SG,6-4,190,"September 18, 2000",us US,1,UConn,CHO,2023
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,12,Butler,CHO,2023
23,Kai Jones,C,6-11,221,"January 19, 2001",bs BS,1,Texas,CHO,2023
9,Th̩o Maledon,PG,6-4,175,"June 12, 2001",fr FR,2,,CHO,2023
11,Cody Martin,SF,6-6,205,"September 28, 1995",us US,3,"NC State, Nevada",CHO,2023
6,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,3,San Diego State,CHO,2023
7,Bryce McGowens,SG,6-6,190,"November 8, 2002",us US,R,Nebraska,CHO,2023
10,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,4,Kansas,CHO,2023
12,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",us US,7,Kansas,CHO,2023
24,Mason Plumlee,C,7-0,254,"March 5, 1990",us US,9,Duke,CHO,2023
4,Nick Richards,C,6-11,245,"November 29, 1997",jm JM,2,Kentucky,CHO,2023
3,Terry Rozier,SG,6-1,190,"March 17, 1994",us US,7,Louisville,CHO,2023
14,Kobi Simmons,SG,6-5,180,"July 4, 1997",us US,2,Arizona,CHO,2023
8,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us US,5,NC State,CHO,2023
22,Xavier Sneed,SF,6-5,215,"December 21, 1997",us US,1,Kansas State,CHO,2023
21,JT Thor,PF,6-9,203,"August 26, 2002",us US,1,Auburn,CHO,2023
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,3,Kentucky,CHO,2023
5,Mark Williams,C,7-1,240,"December 16, 2001",us US,R,Duke,CHO,2023
