talent_group,continuity_group,mean_net_rating,n
Lower prior talent,Lower continuity,-4.193333333333333,45
Lower prior talent,Higher continuity,-1.18,30
Higher prior talent,Lower continuity,1.7766666666666666,30
Higher prior talent,Higher continuity,3.851111111111111,45
