model,n_features,mae,r2
Prior team only,1,3.371821223373674,0.2633814406027426
+ roster talent,4,2.655586200758108,0.5714569130536832
+ roster composition,9,2.540304624708665,0.6293770194400761
+ continuity,11,2.527454061276259,0.6257865936104688
