model,mae,rmse,r2
Ridge regression,4.700290481340441,6.107415980917327,0.52134983085323
Gradient boosting,4.70304923276328,6.104493078515232,0.521807868410735
Season-to-date average,4.776387480679132,6.2647014961552285,0.49637882830935265
Five-game average,4.9281916419623215,6.47931083314619,0.46128279688580165
Previous game,6.09907239169934,8.092004655932328,0.15973657031792587
