role,n,mean_points,model_mae,baseline_mae,model_relative,baseline_relative
"Role player
<8 PPG",8493,5.750382668079595,3.6957492775189573,3.7893282253539113,64.2696232727968,65.8969749333117
"Contributor
8-14",7139,10.958537610309568,4.907739095537215,4.964106511301543,44.78461698137637,45.29898685232793
"Starter
14-20",2849,17.097929097929097,5.663570875510768,5.757753972507582,33.12430904978276,33.675154105095466
"Star
20+",2433,23.990135635018497,6.470207022365437,6.5219916568585194,26.970281122216125,27.186139153537518
